,title,total_rater,average_rating,GMM_labels,HIE_labels,KMeans_labels
0,1,2076,4.15,18.0,67.0,17.0
1,2,701,3.2,9.0,71.0,49.0
2,3,478,3.02,14.0,44.0,1.0
3,4,170,2.73,14.0,42.0,52.0
4,5,296,3.01,14.0,44.0,1.0
5,6,940,3.88,8.0,70.0,19.0
6,7,458,3.41,9.0,44.0,62.0
7,8,68,3.01,3.0,34.0,32.0
8,9,102,2.66,4.0,30.0,51.0
9,10,888,3.54,8.0,70.0,19.0
10,11,1033,3.79,9.0,61.0,62.0
11,12,160,2.36,15.0,25.0,10.0
12,13,99,3.26,17.0,34.0,32.0
13,14,153,3.54,0.0,43.0,61.0
14,15,146,2.46,4.0,27.0,51.0
15,16,682,3.79,5.0,56.0,50.0
16,17,834,4.03,5.0,49.0,41.0
17,18,157,3.34,14.0,41.0,33.0
18,19,389,2.48,14.0,45.0,1.0
19,20,160,2.54,4.0,46.0,53.0
20,21,1356,3.62,18.0,66.0,17.0
21,22,378,3.35,2.0,58.0,58.0
22,23,126,2.86,4.0,41.0,53.0
23,24,624,3.18,14.0,40.0,24.0
24,25,979,3.65,5.0,56.0,26.0
25,26,100,3.53,0.0,26.0,38.0
26,27,61,2.93,17.0,42.0,38.0
27,28,179,4.06,11.0,20.0,22.0
28,29,402,4.06,0.0,39.0,67.0
29,30,73,3.65,11.0,23.0,68.0
30,31,141,3.11,14.0,42.0,52.0
31,32,1510,3.95,18.0,69.0,50.0
32,33,4,3.0,1.0,4.0,9.0
33,34,1750,3.89,18.0,65.0,17.0
34,35,70,3.31,11.0,20.0,0.0
35,36,927,3.96,5.0,56.0,26.0
36,37,8,3.5,1.0,4.0,9.0
37,38,28,2.82,3.0,6.0,32.0
38,39,1361,3.62,18.0,66.0,17.0
39,40,30,3.93,11.0,16.0,42.0
40,41,242,3.96,0.0,10.0,22.0
41,42,221,2.87,4.0,41.0,33.0
42,43,166,3.45,0.0,20.0,22.0
43,44,311,2.79,2.0,48.0,13.0
44,45,543,3.42,5.0,56.0,26.0
45,46,166,3.11,0.0,42.0,52.0
46,47,1137,4.11,18.0,56.0,50.0
47,48,382,2.98,16.0,64.0,27.0
48,49,27,3.74,11.0,6.0,68.0
49,50,1782,4.52,18.0,66.0,50.0
50,51,0,0.0,,,
51,52,431,3.64,5.0,49.0,26.0
52,53,8,4.75,1.0,7.0,43.0
53,54,41,2.56,3.0,6.0,32.0
54,55,45,3.07,11.0,23.0,60.0
55,56,9,2.0,1.0,3.0,9.0
56,57,99,3.4,0.0,28.0,52.0
57,58,500,4.09,0.0,49.0,41.0
58,59,8,2.75,1.0,7.0,43.0
59,60,357,3.21,16.0,27.0,27.0
60,61,67,3.0,17.0,41.0,33.0
61,62,541,3.7,5.0,44.0,58.0
62,63,111,2.86,17.0,32.0,6.0
63,64,79,2.27,17.0,31.0,38.0
64,65,143,2.06,14.0,25.0,1.0
65,66,97,1.67,17.0,30.0,51.0
66,67,4,3.25,11.0,8.0,20.0
67,68,60,3.45,11.0,24.0,68.0
68,69,319,3.66,14.0,45.0,24.0
69,70,914,3.16,8.0,70.0,19.0
70,71,96,2.1,4.0,30.0,51.0
71,72,93,3.63,0.0,20.0,0.0
72,73,224,3.82,0.0,26.0,64.0
73,74,120,2.98,17.0,31.0,38.0
74,75,12,1.92,1.0,6.0,2.0
75,76,178,2.85,4.0,46.0,10.0
76,77,34,3.76,11.0,24.0,68.0
77,78,50,3.26,0.0,29.0,21.0
78,79,114,2.61,4.0,41.0,33.0
79,80,51,3.83,11.0,23.0,60.0
80,81,166,3.16,0.0,41.0,33.0
81,82,89,3.88,11.0,23.0,60.0
82,83,33,3.7,11.0,8.0,20.0
83,84,21,3.1,11.0,23.0,60.0
84,85,194,3.4,0.0,50.0,22.0
85,86,236,3.39,14.0,43.0,38.0
86,87,76,2.21,17.0,27.0,32.0
87,88,192,2.94,14.0,25.0,1.0
88,89,229,3.07,2.0,41.0,53.0
89,90,6,3.67,1.0,4.0,9.0
90,92,88,2.34,14.0,41.0,33.0
91,93,89,2.24,4.0,25.0,10.0
92,94,182,3.73,0.0,43.0,35.0
93,95,638,2.88,8.0,70.0,19.0
94,96,13,3.92,7.0,16.0,65.0
95,97,44,3.75,11.0,24.0,20.0
96,98,6,2.0,11.0,21.0,20.0
97,99,50,3.46,11.0,24.0,68.0
98,100,128,3.06,0.0,41.0,33.0
99,101,253,3.87,0.0,50.0,54.0
100,102,60,1.82,17.0,25.0,6.0
101,103,33,3.21,17.0,21.0,12.0
102,104,682,3.53,9.0,45.0,46.0
103,105,387,3.23,5.0,43.0,35.0
104,106,12,3.58,1.0,7.0,43.0
105,107,256,3.15,16.0,27.0,27.0
106,108,7,2.86,3.0,6.0,2.0
107,109,0,0.0,,,
108,110,2443,4.23,8.0,66.0,16.0
109,111,1239,4.18,10.0,51.0,14.0
110,112,570,3.44,2.0,70.0,13.0
111,113,53,2.98,11.0,28.0,64.0
112,114,11,3.09,7.0,15.0,42.0
113,115,0,0.0,,,
114,116,41,4.1,11.0,24.0,68.0
115,117,79,3.63,11.0,20.0,54.0
116,118,68,3.07,17.0,22.0,38.0
117,119,13,2.46,3.0,6.0,2.0
118,120,3,2.67,1.0,4.0,9.0
119,121,37,4.05,11.0,16.0,18.0
120,122,194,2.77,14.0,45.0,1.0
121,123,115,3.87,11.0,20.0,0.0
122,124,14,3.21,11.0,16.0,60.0
123,125,318,3.83,0.0,49.0,41.0
124,126,99,1.99,3.0,34.0,32.0
125,127,1,1.0,1.0,3.0,9.0
126,128,12,4.33,1.0,4.0,2.0
127,129,13,3.31,3.0,2.0,2.0
128,130,2,4.0,1.0,4.0,9.0
129,131,16,3.06,3.0,6.0,2.0
130,132,91,2.49,4.0,41.0,33.0
131,133,1,1.0,1.0,3.0,9.0
132,134,2,4.0,1.0,3.0,9.0
133,135,133,2.81,16.0,25.0,1.0
134,136,8,3.25,1.0,9.0,2.0
135,137,13,3.0,7.0,15.0,42.0
136,138,2,2.5,7.0,13.0,23.0
137,139,1,4.0,1.0,4.0,9.0
138,140,139,3.17,17.0,42.0,52.0
139,141,682,3.55,9.0,61.0,62.0
140,142,1,1.0,6.0,1.0,7.0
141,143,0,0.0,,,
142,144,433,3.39,0.0,50.0,35.0
143,145,362,3.3,2.0,46.0,53.0
144,146,18,2.89,3.0,8.0,20.0
145,147,181,3.54,0.0,43.0,61.0
146,148,23,2.78,11.0,23.0,60.0
147,149,47,3.79,11.0,20.0,0.0
148,150,1250,4.07,18.0,66.0,17.0
149,151,554,3.59,5.0,58.0,58.0
150,152,69,3.0,11.0,21.0,21.0
151,153,777,2.64,8.0,69.0,19.0
152,154,167,3.73,12.0,10.0,31.0
153,155,87,3.41,11.0,20.0,0.0
154,156,66,3.56,11.0,20.0,0.0
155,157,187,2.73,14.0,45.0,67.0
156,158,259,2.98,16.0,27.0,27.0
157,159,116,3.28,0.0,50.0,61.0
158,160,565,2.24,2.0,71.0,13.0
159,161,759,3.72,8.0,70.0,19.0
160,162,490,4.06,10.0,49.0,41.0
161,163,540,3.46,2.0,70.0,19.0
162,164,379,3.57,0.0,41.0,61.0
